Digit,Precision,Recall,F1-Score,Support
0,0.9478957915831663,0.9653061224489796,0.9565217391304348,980
1,0.9611734253666955,0.9814977973568282,0.9712292938099389,1135
2,0.9148936170212766,0.875,0.8945022288261516,1032
3,0.8821811100292113,0.897029702970297,0.8895434462444771,1010
4,0.9005076142131979,0.9032586558044806,0.9018810371123538,982
5,0.8529062870699882,0.8060538116591929,0.8288184438040346,892
6,0.9316062176165804,0.9384133611691023,0.9349973998959958,958
7,0.9112426035502958,0.8988326848249028,0.9049951028403526,1028
8,0.8346938775510204,0.839835728952772,0.8372569089048106,974
9,0.8694817658349329,0.8979187314172448,0.8834714773281326,1009
