Design,Features,Train_Accuracy,Test_Accuracy,Test_Precision_Macro,Test_Recall_Macro,Test_F1_Macro,Test_Precision_Weighted,Test_Recall_Weighted,Test_F1_Weighted,Overfitting_Gap
Design 2,197,0.9287,0.9259,0.9250595121198307,0.9249159605302282,0.9248814463381125,0.9259163543810776,0.9259,0.9258023678967336,0.0028000000000000247
Design 1,718,0.9403166666666667,0.9238,0.9229358325750049,0.9226490691224669,0.9226846970091973,0.9236585671102304,0.9238,0.9236252368170892,0.016516666666666735
Design 5,332,0.9346,0.9237,0.9227632386700678,0.9227017426878363,0.9226332774422783,0.9236160107996686,0.9237,0.9235583530482665,0.01090000000000002
Design 3,50,0.89545,0.9022,0.9006582309836366,0.9003146596603798,0.9003217077896682,0.9019668824050483,0.9022,0.9019228388712763,-0.006750000000000034
Design 4,101,0.8958833333333334,0.8967,0.895579830490856,0.8951828688790353,0.8950721771087693,0.89661755320555,0.8967,0.8963587911212587,-0.0008166666666666877
