Metric,Correct_Predictions,Incorrect_Predictions
Mean,0.93899844006459,0.6745931139833129
Median,0.9866223248638742,0.6717468762782922
Std,0.10963973806733811,0.18628981192870048
Min,0.28301470308646604,0.24069276098689196
Max,0.9999999992872799,1.0
