Digit,Precision,Recall,F1-Score,Support
0,0.9512922465208747,0.976530612244898,0.9637462235649547,980
1,0.9626736111111112,0.9770925110132158,0.9698294709226061,1135
2,0.9350912778904665,0.8934108527131783,0.9137760158572844,1032
3,0.9047151277013753,0.9118811881188119,0.908284023668639,1010
4,0.9373716632443532,0.929735234215886,0.9335378323108384,982
5,0.8956422018348624,0.875560538116592,0.8854875283446711,892
6,0.9364754098360656,0.954070981210856,0.9451913133402275,958
7,0.9301181102362205,0.919260700389105,0.9246575342465754,1028
8,0.8701431492842536,0.8737166324435318,0.8719262295081968,974
9,0.9041095890410958,0.9157581764122894,0.9098966026587888,1009
