Digit,Precision,Recall,F1-Score,Support
0,0.9473684210526315,0.9734693877551021,0.9602415702063413,980
1,0.9617723718505647,0.9753303964757709,0.968503937007874,1135
2,0.9262213359920239,0.9001937984496124,0.913022113022113,1032
3,0.9014634146341464,0.9148514851485149,0.9081081081081082,1010
4,0.9348268839103869,0.9348268839103869,0.9348268839103869,982
5,0.8991793669402111,0.8598654708520179,0.879083094555874,892
6,0.9387966804979253,0.9446764091858038,0.9417273673257024,958
7,0.9310344827586207,0.919260700389105,0.9251101321585903,1028
8,0.8809034907597536,0.8809034907597536,0.8809034907597536,974
9,0.9035087719298246,0.9187314172447968,0.9110565110565111,1009
