Digit,Precision,Recall,F1-Score,Support
0,0.955044955044955,0.9755102040816327,0.9651691065118627,980
1,0.9626736111111112,0.9770925110132158,0.9698294709226061,1135
2,0.9331983805668016,0.8934108527131783,0.9128712871287129,1032
3,0.9109792284866469,0.9118811881188119,0.9114299851558635,1010
4,0.9373072970195272,0.9287169042769857,0.9329923273657289,982
5,0.8964326812428078,0.8733183856502242,0.8847245883021011,892
6,0.9394871794871795,0.9561586638830898,0.9477496120020693,958
7,0.9350393700787402,0.9241245136186771,0.9295499021526419,1028
8,0.8664007976071785,0.8921971252566735,0.8791097622660596,974
9,0.9140316205533597,0.9167492566897919,0.9153884215734784,1009
