Design,Features,Test Acc,Test Prec (macro),Test Rec (macro),Test F1 (macro),Test F1 (weighted),Train Acc,Overfit Gap
Design 2,197,0.9259,0.9250595121198307,0.9249159605302282,0.9248814463381125,0.9258023678967336,0.9287,0.0028000000000000247
Design 5,332,0.9237,0.9227632386700678,0.9227017426878363,0.9226332774422783,0.9235583530482665,0.9346,0.01090000000000002
Design 1,718,0.9234,0.9225075220326089,0.9222109440170863,0.9222583208111255,0.9232302890891074,0.94015,0.016750000000000043
Design 3,50,0.9022,0.9006582309836366,0.9003146596603798,0.9003217077896682,0.9019228388712763,0.89545,-0.006750000000000034
Design 4,57,0.8004,0.7973369565266408,0.7966674372043235,0.794554986455496,0.7973019104078617,0.79505,-0.005349999999999966
